figure_id,comparison_id,reference,other,modality,metric,mean_diff,p_raw,p_holm,n_pairs,ci_lo,ci_hi
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,overall_quality_umap,0.077842,0.000000,0.000000,45,0.059192,0.095477
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,participation_ratio_intrin,0.309747,0.000000,0.000000,45,0.289144,0.330601
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,spectral_decay_rate_intrin,0.139439,0.000000,0.000000,45,0.131275,0.147658
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,trajectory_directionality_intrin,0.205846,0.000000,0.000000,45,0.184846,0.227681
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,ASW,0.208596,0.000000,0.000000,100,0.180918,0.231835
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,CAL,3555.515892,0.000000,0.000000,100,3032.431632,4128.643638
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,DAV,-0.456726,0.000000,0.000000,100,-0.501849,-0.408032
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,K_max_tsne,-28.320000,0.400251,1.000000,100,-65.140750,6.860500
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,K_max_umap,-157.280000,0.000000,0.000000,100,-180.890000,-133.048250
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,Q_global_tsne,0.015842,0.197269,0.394538,100,0.000679,0.030773
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,Q_global_umap,0.004925,0.850008,1.000000,100,-0.011196,0.021537
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,Q_local_tsne,0.151711,0.000000,0.000000,100,0.135500,0.168056
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,Q_local_umap,0.138273,0.000000,0.000000,100,0.120776,0.155482
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,anisotropy_score_intrin,-0.127540,0.000000,0.000000,100,-0.150151,-0.105478
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,distance_correlation_tsne,-0.017195,0.186729,0.373459,100,-0.057855,0.024307
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,distance_correlation_umap,0.023395,0.847314,1.000000,100,-0.026040,0.074441
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,manifold_dimensionality_intrin,0.114585,0.000000,0.000000,100,0.095428,0.133529
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,noise_resilience_intrin,0.086753,0.027394,0.191755,100,0.024418,0.150203
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,overall_quality_intrin,-0.002985,0.491664,1.000000,100,-0.031795,0.026408
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,overall_quality_tsne,0.050119,0.000210,0.001471,100,0.028785,0.070710
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,overall_quality_umap,0.055531,0.001200,0.004800,100,0.029626,0.081853
